Victoire	JULIEN Abbé David	61		français	Passion		H 32	SATB					61			
De mon coeur a jailli	JEF, Robert	62		français		Consécration		SATB					62			
Dieu qui nous appelle à vivre	Akepsimas Jo	62		français	Pentecôte		K158	SATB					62			
J' aime le Seigneur	BERTHIER, Jacques	62		français		Psaume		Unisson					62			
J'ai vu des fleuves d'eau vive	WITTAL	62		français	Pâques 	Aspersion	I	SATB					62			
J'ai vu l'eau vive	BERTHIER, Jacques	62		français	Pâques	Aspersion	I 132-1	Unisson					62			
J'ai vu l'eau vive	GODARD Marcel	62		français	Pâques	Aspersion	I	Unisson					62			
J'ai vu l'eau vive	ROBERT Philippe	62		français	Pâques	Aspersion	I 18-64-1	Unisson					62	orgue		
Messe Petite = Petite Messe	Akepsimas Jo	62		français		Messe	AL 179	SATB					62			
Petite messe = Messe Petite	Akepsimas Jo	62		français		Messe	AL 179	SATB					62			
Chez nous soyez Reine	HUET Abbé	63		français		chant marial		SA					63			
Je vous salue Marie	BRUN	63		français		chant marial		2VE					63			
Je vous salue Marie	LITAIZE	63		français		chant marial		Unisson					63			
Je vous salue Marie (Angelus)	ANONYME	63		français		annonciation		SATB					63			
Je vous salue Marie (ton ordinaire)	Anonyme	63				chant marial	V 15	Unisson					63			
Nous te saluons 	GOUZES	63				Salve Regina		SATB					63			
Salve Regina	GOUZES	63				Antienne mariale		4VM					63			
Sous ton voile de tendresse	EMMANUEL	63				chant marial		4VM					63			
Dieu est à l'oeuvre en cet âge	SHAW	64					T 50	SATB					64			
Dieu nous te louons	MARTHOURET	64			Toussaint			SSA					64			
Dieu qui fais toutes choses nouvelles	GELINEAU J.	64			Pentecôte		K90-2	Unisson					64			
Dieu qui fait toutes choses nouvelles	JULIEN	64			Pentecôte		K90-1	Unisson					64			
Le Seigneur vient	GELINEAU	64			Avent		E 10-63	SAB					64			
Veni Creator	ANONYME	65	grégorien		Pentecôte			Unisson					65			
Veni Creator	FRANCK Cesar	65			Pentecôte			SA					65			
Veni creator	PERRUCHOT	65			Pentecôte			SATB					65			
Veni creator Spiritus	ESTERHAZY, Paul	65			Pentecôte			SATB					65			
Veni Creator Spiritus	HILBER J.B.	65		latin	Pentecôte			SATB					65			
Veni creator: viens, Esprit créateur	GOUZES	65	grég/français		Pentecôte			Unisson					65			
Veni Sancte Spiritus	ANONYME	65	grégorien		Pentecôte			Unisson					65			
Veni Sancte Spiritus	JANACEK Leos	65			Pentecôte			SATB					65			
Da pacem Domine	FRANCK Melchior	66		latin				SATB		Mottet latin			66			
Da pacem Domine	VON BRUCK	66						SSAA		Mottet latin			66			
Da pacem, Domine	BERTETTI, G.	66						SATB		Mottet latin			66			
Veni Domine 	MENDELSSOHN	66		latin	Avent			SSA		Motet Opus39			66			
J'entends chanter la terre	GEOFFRAY C.	67						SATB		Choral			67			
O vous tous , gens de la terre	GEOFFRAY	67						SSA		Poème sur la charité	Poème sur la Charité		67			
Si vous n'estes en bon point	DE LASSUS Orlandus	67						SATB			chant de la Renaissance		67			
Litanie Pénitentielle (Martyrs)	GODARD Marcel	68				Kyrie		SATB					68			
Laudate Dominum (KV 339)	MOZART Wolgang Amadeus	69						SSA/Solo		desVêpres KV 339 d Un confesseur			69			
Ce jour est plein de joie	GODARD Marcel	70			Noël			SSA		Noël			70		orgue	
Dans une étable obscure (2 versions la M et solM)	PRAETORIUS	70		français	Noël			SATB		Noël			70			
Deux Noëls de joie	ANONYME	70		anglais	Noël			SATB		Noël trad anglais			70			
Douce nuit	GRUBER	70			Noël			SATB		Noël			70			
Douce Nuit 	BOVET	70			Noël			SATB		Noël			70			
Es Ist Ein Reis Entsprungen	PRAETORIUS	70		allemand	Noël			SATB		Noël			70			
Il est venu marcher	VINCENT	70			Noël			SATB		Noël			70			
Le jour de Dieu sur nous a lui	ANONYME	70			Noël			4VM		Noël			70			
Noël des petits santons	ACKERMANS	70			Noël			SATB		Noël			70			
Stille Nacht	GRUBER	70			Noël			SATB		Noël			70			
Stille nacht	RUTTER	70			Noël			SSA		Noël			70			
Dans la joie, le Seigneur	GODARD Marcel	71			Ascension		J5	SATB					71			
Ecoute ( Repons XXX)	GODARD Marcel	71				Répons		SSA					71			
Ecoute, écoute, surtout ne fais pas de bruit	WACKENHEIM	71			Témoignage		T 40	Unisson					71			
