J'ai vu l'eau vive	BERTHIER, Jacques	62		français	Pâques	Aspersion	I 132-1	Unisson					62					0	VRAI
J'ai vu l'eau vive	GODARD Marcel	62		français	Pâques	Aspersion	I	Unisson					62					0	VRAI
J'ai vu l'eau vive	ROBERT Philippe	62		français	Pâques	Aspersion	I 18-64-1	Unisson					62	orgue				0	VRAI
Messe Petite = Petite Messe	AKEPSIMAS	62		français		Messe	AL 179	SATB					62					0	VRAI
Petite messe = Messe Petite	AKEPSIMAS	62		français		Messe	AL 179	SATB					62					0	VRAI
Chez nous soyez Reine	HUET Abbé	63		français		chant marial		SA					63					0	VRAI
Je vous salue Marie	BRUN	63		français		chant marial		2VE					63					0	VRAI
Je vous salue Marie	LITAIZE	63		français		chant marial		Unisson					63					0	VRAI
Je vous salue Marie (Angelus)	ANONYME	63		français		annonciation		SATB					63					0	VRAI
Je vous salue Marie (ton ordinaire)	Anonyme	63				chant marial	V 15	Unisson					63					0	VRAI
Nous te saluons 	GOUZES	63				Salve Regina		SATB					63					0	VRAI
Salve Regina	GOUZES	63				Antienne mariale		4VM					63					0	VRAI
Sous ton voile de tendresse	EMMANUEL	63				chant marial		4VM					63					0	VRAI
Dieu est à l'oeuvre en cet âge	SHAW	64					T 50	SATB					64					0	VRAI
Dieu nous te louons	MARTHOURET	64			Toussaint			SSA					64					0	VRAI
Dieu qui fais toutes choses nouvelles	GELINEAU J.	64			Pentecôte		K90-2	Unisson					64					0	VRAI
Dieu qui fait toutes choses nouvelles	JULIEN	64			Pentecôte		K90-1	Unisson					64					0	VRAI
Le Seigneur vient	GELINEAU	64			Avent		E 10-63	SAB					64					0	VRAI
Veni Creator	ANONYME	65	grégorien		Pentecôte			Unisson					65					0	VRAI
Veni Creator	FRANCK Cesar	65			Pentecôte			SA					65					0	VRAI
Veni creator	PERRUCHOT	65			Pentecôte			SATB					65					0	VRAI
Veni creator Spiritus	ESTERHAZY, Paul	65			Pentecôte			SATB					65					0	VRAI
Veni Creator Spiritus	HILBER J.B.	65		latin	Pentecôte			SATB					65					0	VRAI
Veni creator: viens, Esprit créateur	GOUZES	65	grég/français		Pentecôte			Unisson					65					0	VRAI
Veni Sancte Spiritus	ANONYME	65	grégorien		Pentecôte			Unisson					65					0	VRAI
