Douce nuit	GRUBER	70			Noël			SATB		Noël					
Douce Nuit 	BOVET Joseph	70			Noël			SATB		Noël					
Es Ist Ein Reis Entsprungen	PRAETORIUS	70		allemand	Noël			SATB		Noël					
Il est venu marcher	VINCENT	70			Noël			SATB		Noël					
Le jour de Dieu sur nous a lui	ANONYME	70			Noël			4VM		Noël					
Noël des petits santons	ACKERMANS	70			Noël			SATB		Noël					
Stille Nacht	GRUBER	70			Noël			SATB		Noël					
Stille nacht	RUTTER	70			Noël			SSA		Noël					
Dans la joie, le Seigneur	GODARD Marcel	71			Ascension		J5	SATB							
Ecoute ( Repons XXX)	GODARD Marcel	71				Répons		SSA							
Ecoute, écoute, surtout ne fais pas de bruit	WACKENHEIM	71			Témoignage		T 40	Unisson							
L esprit du Seigneur emplit l univers	GODARD Marcel	71			Pentecôte			SSA							
L esprit du Seigneur emplit l univers	GODARD Marcel	71			Pentecôte			SATB							
Prenons la main que Dieu nous tend	AKEPSIMAS	71			Mission		T 42-2	SATB							
Angyalkert	KODALY	72		hongrois	Noël			SA		"Noël ""le jardin des anges"""		XX			
Angyalok es pasztorok	KODALY	72		hongrois	Noël			SSAAA		"Noël ""les anges et les bergers"""		XX			
Genfi Zsoltar	KODALY	72		hongrois				SSA		Psaume 150		XX			
Négy olasz madrigal	KODALY	72		hongrois				SMSA			3 madrigaux				
Envoie ton Esprit Saint	BERTHIER Jacques	73			Pentecôte			SATB							
Esprit de Dieu, souffle de vie	MUGNIER	73			Pentecôte			Unisson							
Esprit toi qui guides	RIMAUD	73			Pentecôte			SATB/SA							
Jour du Vivant	DANIEL, Etienne	73			Pâques	Louange	IP34-92-8	SATB							
Notre Père (ton commun)	ANONYME	73				Notre Père		Unisson							
Seigneur est Saint, l Esprit de Dieu prose parisienne	DIEUAIDE, Jean-Michel	73			Pentecôte			SATB							
En toi est la joie	GASTOLDI	74				Louange		SA							
En toi est la joie	GASTOLDI	74				Louange		SATB							
In dir ist Freude	GASTOLDI	74		allemand		Louange		SSATB							
Laisse-nous chanter avec toi	KLINGUER	74			Pâques		I 164	Unisson							
En natus est Emmanuel	PRAETORIUS	75			Noël			SATB		Noël					
Tous les peuples battez des mains	REVEYRON Joseph	76			Ascension			SAB		Psaume 45					
Tous les peuples battez des mains	REVEYRON Joseph	76			Ascension			SMSACA		Psaume 45					
Peuple de Lumière	KEMPF	77			Témoignage		T 601	SATB							
Christ est Lumière	TROUILLET	78			Pâques		I110-1	Unisson							
Tout au long du chemin	HOUSSA, F. et Aubry J.M.	78			Pâques		I 303-4	SATB							
Bonne nuit au clair de lune n°2 la cuisine de Josquin…	JOUBERT Julien	79						SATB			chant populaire				
Duerme Negrito  	YUPANQUI Atahualpa	79						Solo+SATB			traditionnel sud américain				
La cuisine de Josquin et Léonie n°2 Bonne nuit……	JOUBERT Julien	79						4V canon			chœur				
La grenouille qui veut se faire plus grosse que le bœuf	Français Jean	79						Solo+TTBB			Fable de La Fontaine				
Aujourd hui montons sur la montagne	AKEPSIMAS	80			Transfiguration			SAB							
Fais paraître ton jour	BERTHIER Jacques	80			Litanies		Y53	SATB							
La chambre haute	BERTHIER Jacques	80				Communion		SSA							
Messe du Peuple de Dieu	Emmanuel	81				Messe		SAB							
