Veni Sancte Spiritus	JANACEK Leos	65		latin	Pentecôte			SATB							
Veni creator	PERRUCHOT	65		latin	Pentecôte			SATB							
Da pacem, Domine	BERTETTI G.	66		latin				SATB		Mottet latin					
Da pacem Domine	FRANCK Melchior	66		latin				SATB		Mottet latin					
Veni Domine 	MENDELSSOHN Felix	66		latin	Avent			SSA		Motet Opus39					
Da pacem Domine	VON BRUCK	66		latin				SSAA		Mottet latin					
J entends chanter la terre	GEOFFRAY César	67		français				SATB		Choral					
O vous tous , gens de la terre	GEOFFRAY César	67		français				SSA		Poème sur la charité	Poème sur la Charité				
Si vous n estes en bon point	LASSUS Orlando de	67		français				SATB			chant de la Renaissance				
Litanie Pénitentielle (Martyrs)	GODARD Marcel	68		français		Kyrie		SATB							
Laudate Dominum (KV 339)	MOZART Wolfgang Amadeus	69		français				SSA/Solo		desVêpres KV 339 d Un confesseur					
Noël des petits santons	ACKERMANS	70		français	Noël			SATB		Noël					
Deux Noëls de joie	ANONYME	70		anglais	Noël			SATB		Noël trad anglais					
Le jour de Dieu sur nous a lui	ANONYME	70		français	Noël			4VM		Noël					
Douce Nuit 	BOVET Joseph	70		français	Noël			SATB		Noël					
Ce jour est plein de joie	GODARD Marcel	70		français	Noël			SSA		Noël				orgue	
Douce nuit	GRUBER	70		français	Noël			SATB		Noël					
Stille Nacht	GRUBER	70		allemand	Noël			SATB		Noël					
Dans une étable obscure (2 versions la M et solM)	PRAETORIUS M.	70		français	Noël			SATB		Noël					
Es Ist Ein Reis Entsprungen	PRAETORIUS M.	70		allemand	Noël			SATB		Noël					
Stille nacht	RUTTER John	70		allemand	Noël			SSA		Noël					
Il est venu marcher	VINCENT Jean-Marie	70		français	Noël			SATB		Noël					
Prenons la main que Dieu nous tend	AKEPSIMAS Jo	71		français	Mission		T 42-2	SATB							
Dans la joie, le Seigneur	GODARD Marcel	71		français	Ascension		J5	SATB							
Ecoute ( Repons XXX)	GODARD Marcel	71		français		Répons		SSA							
L esprit du Seigneur emplit l univers	GODARD Marcel	71		français	Pentecôte			SSA							
L esprit du Seigneur emplit l univers	GODARD Marcel	71		français	Pentecôte			SATB							
Ecoute, écoute, surtout ne fais pas de bruit	WACKENHEIM Michel	71		français	Témoignage		T 40	Unisson							
Angyalkert	KODALY	72		hongrois	Noël			SA		"Noël ""le jardin des anges"""		XX			
Angyalok es pasztorok	KODALY	72		hongrois	Noël			SSAAA		"Noël ""les anges et les bergers"""		XX			
Genfi Zsoltar	KODALY	72		hongrois				SSA		Psaume 150		XX			
Négy olasz madrigal	KODALY	72		hongrois				SMSA			3 madrigaux				
Notre Père (ton commun)	ANONYME	73		français		Notre Père		Unisson							
Envoie ton Esprit Saint	BERTHIER Jacques	73		français	Pentecôte			SATB							
Jour du Vivant	DANIEL Etienne	73		français	Pâques	Louange	IP34-92-8	SATB							
Seigneur est Saint, l Esprit de Dieu prose parisienne	DIEUAIDE Jean-Michel	73		français	Pentecôte			SATB							
Esprit de Dieu, souffle de vie	MUGNIER	73		français	Pentecôte			Unisson							
Esprit toi qui guides	RIMAUD Didier	73		français	Pentecôte			SATB/SA							
En toi est la joie	GASTOLDI	74		français		Louange		SA							
En toi est la joie	GASTOLDI	74		français		Louange		SATB							
In dir ist Freude	GASTOLDI	74		allemand		Louange		SSATB							
Laisse-nous chanter avec toi	KLINGUER	74		français	Pâques		I 164	Unisson							
En natus est Emmanuel	PRAETORIUS M.	75		latin	Noël			SATB		Noël					
Tous les peuples battez des mains	REVEYRON Joseph	76		français	Ascension			SAB/SMSACA		Psaume 45					
Peuple de Lumière	KEMPF	77		français	Témoignage		T 601	SATB							
Tout au long du chemin	HOUSSA F. et AUBRY J.M.	78		français	Pâques		I 303-4	SATB							
Christ est Lumière	TROUILLET	78		français	Pâques		I110-1	Unisson							
La grenouille qui veut se faire plus grosse que le bœuf	Français Jean	79		français				Solo+TTBB			Fable de La Fontaine				
Bonne nuit au clair de lune n°2 la cuisine de Josquin…	JOUBERT Julien	79		français				SATB			chant populaire				
