Vous êtes sans pareille;GELINEAU Joseph;44;;français;;Chant marial;V 10;SATB;;;;;;
Notre Dame Lumière;ANONYME;15;;français ;;Chant marial Tchèque;;Unisson;;;"d'après ""Tece Voda Tece""";;;
Christ, Roi du monde;ANONYME;244;;français;Christ Roi;;M35;SATB;;;;;;
Completorium;HAYDN Michael;590;;latin;Complies(2 parties);;;SATB;;;;;;
Jerusalem et Sion=Prose de la Dédicace de Paris;SAINT VICTOR;109;grégorien;latin;dédicace 9 novembre;;;Unisson;;;;;;
Prose de la Dédicace de Paris=Jerusalem et Sion(grég);SAINT VICTOR;109;;latin;dédicace 9 novembre;;;Unisson;;;;;;
In paradisum ;ANONYME;170;grégorien;;Défunts;;;Unisson;;;;;;
La mort ne peut me garder;BERTHIER Jacques;271;;français;Défunts;;S 21-2;SATB;;;;;;
Missa pro defunctis;CAURROY du Eustache;169;;latin;Défunts;Messe;;SATBarB;;;;;;
Missa pro defunctis;GRUBER;169;;latin;Défunts;Messe;;SA;;;;;;
Pie Jesu;GOUIN A.;228;;latin;Défunts;Fin du Dies irae;;TB/SSA/SAB;;;;;;
Préparation pénitentiellepour des funérailles;GODARD Marcel;251;;français;Défunts;Kyrie, psaume 102….;;Unisson;;;;;;
Sauve-nous Seigneur;GODARD Marcel;468;;français;Défunts;;;SAT;;;;;;
Seigneur,tu as vaincu la mort;DEISS Lucien;531;;français;Défunts;;IS11-a;SATB;;;;;;
Si Iniquitates;WESLEY Samuel;289;;latin;Défunts;;;TBarB;;;"tiré ""de profondis"" Ps 129";;;
Sur le seuil de sa maison;ANONYME;170;;français;Défunts;;SL 41-2;SATB;;;;chanson populaire;;
Tu nous guideras;JEF Robert;177;;français;Défunts;;J 15;SATB;;;;;;
O prends mon âme;ANONYME;109;;français;Dieu;;;SATB;;;trad hébraïque;;;
Sur les chemins de Galilée;GODARD Marcel;468;;français;Dim après Epiphanie;;;SSATB;;;;;;
Joyeuse est la terre;TAMIE;28;;français;Dimanche ap.Asc;Tropaire;K146-1;Unisson;;;;;;
Ave Regina caelorum;ANONYME;225;grégorien;;du 2 février au  Jeudi St;;;Unisson;;;;;;
Eglise du Christ;LECOT Jean-Paul;150;;français;;Eglise;;SATB;;;;;;
Eglise du Seigneur = Peuple de Dieu, Cité de l Emmanuel ;LECOT Jean-Paul;109;français;français;;Eglise;;SATB;;;;;;
Eglise du Seigneur=Peuple royal très Sainte Eglise;LECOT Jean-Paul;109;;français;;Eglise;K 128;SATB;;;2 harmonisations;;;
Dextera Domini;FRANCK César;114;;latin;Epiphanie;;;SATB;;;FWV 65;;;
Dextera Domini;PALESTRINA;207;;latin;Epiphanie;;;Solo/4VM;;;;;;
Dextera Domini ;ANONYME;247;grégorien;;Epiphanie;;;Unisson;;;;;;
Kings of Orient;HOPKINS J.H;485;;anglais;Epiphanie;;;SSA;;orgue;;;;
Lève toi, resplendis Jérusalem;GODARD Marcel;485;;français;Epiphanie;;;SmSA/SATB;;;;;;
Père caché qui sacrifias;GODARD Marcel;182;;français;Epiphanie;Hymne;;SATB;;;;;;
Qui es tu roi d humilité;AKEPSIMAS Jo;456;;français;Epiphanie;;F 231;SATB;;;;;;
